user_id,post_id,interaction_type
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56X7Y00,TAGGED
5bem6bm75ku5pqz4em3bcsbm6n5grywja15x3739eesjhsdo6nfy,2Z1N9M56X7Y00,TAGGED
77m8jyqqrd41xzu5b67m8z5wuypuatc54gmw5gcax6ae3yeca6wo,0RE3WS2NPCP0,BOOKMARKED
77m8jyqqrd41xzu5b67m8z5wuypuatc54gmw5gcax6ae3yeca6wo,0RE3WS2NPCP0,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBET4BG0,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBETXT00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBETXT00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBETXT00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBETXT00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBETXT00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBETXT00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBETTM00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBETTM00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBETTM00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBETTM00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBETTM00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBETTM00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBETTM00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBETTM00,TAGGED
78guxwtzgtgpskij51om7t66awmqxznr6p7ogonfohoags6ahc5y,2Z1N8QBETTM00,TAGGED
